,Funding Orgs
623,"KACST (CCS-TIC) at KFUMP [32-753, CCS10]; KFUPM"
624,KACST [14-ENE2897-04]; KFUPM
625,KACST [15-ADV4907-04]; KACST
626,KACST [AR-34-3]
627,KACST research Grant [KACST AT 23-21]
628,KACST through NSTIP [14-ENE2278-04]
629,KACST through NSTIP Project [11-ENV1654-04]; Deanship of Research at KFUPM
630,KACST-NSTIP [15-ADV4632-04]
631,"KACST-TIC on Carbon Capture and Sequestration (CCS), King Fahd University of Petroleum and Minerals, Dhahran, Kingdom of Saudi Arabia"
632,"KACST, Saudi Arabia though the National Technology Plan for Science and Technology (NSTIP) [15-MED3742-04]; King Abdulaziz City for Science and Technology, Saudi Arabia, National Technology Plan for Science and Technology (NSTIP) [15-MED3742-04]"
633,KAUSTKing Abdullah University of Science & Technology; College of Petroleum Engineering and Geosciences at KFUPM
634,KEMENRISTEKDIKTIMinistry of Research and Technology of the Republic of Indonesia (RISTEK)
635,KFUPM
636,KFUPM [171009]
637,KFUPM [DF 181019]
638,"KFUPM [DISC1505]; King Abdullah City for Atomic and Renewable Energy Research and Innovation Center (K.A. CARE), King Fahd University of Petroleum and Minerals, Dhahran [KACARE-182-RFP-02]"
639,"KFUPM [FT141013]; Geosciences Department, College of Petroleum Engineering & Geosciences, KFUPM"
640,KFUPM [FT151002]
641,KFUPM [IN 141003]
642,KFUPM [IN 141030]
643,"KFUPM [IN 161042]; Romanian National Authority for Scientific Research, CNCS-UEFISCDI [PN-III-P4-ID-PCE-2016-0190]"
644,KFUPM [IN141003]
645,KFUPM [IN141015]
646,KFUPM [IN151012]
647,KFUPM [IN151025]
648,KFUPM [IN161006]
649,KFUPM [IN161006]; KFUPM
650,KFUPM [IN161012]
651,KFUPM [IN161034]; Saudi Aramco [ORCP 2390]
652,KFUPM [IN161034]; Saudi Aramco Carbon Capture and Utilization Chair Program [ORCP2390]
653,KFUPM [IN161065]
654,KFUPM [IN171001]
655,KFUPM [IN171028]
656,KFUPM [KAUST002]
657,KFUPM [KAUST002]; KAUSTKing Abdullah University of Science & Technology [OSR 2016-KKI-2899]
658,KFUPM [MIT13101/2]; Center for Clean Water and Clean Energy at MIT; KFUPM
659,KFUPM [NI141030]
660,KFUPM [NUS15103/4]
661,KFUPM [RG 1413]
662,KFUPM [RG 1421]
663,"KFUPM [RG 1421]; Physics Department, Deanship of Scientific Research (DSR)"
664,KFUPM [RG-1401]
665,KFUPM [RG161004]
666,KFUPM [SB181018]
667,KFUPM [SB181039]
668,KFUPM [SB191003]
669,KFUPM [SR161020]; King Abdullah City for Atomic and Renewable Energy (K.A.CARE) [KACO2474]
670,KFUPM [SR181004]
671,KFUPM DSR [JF121001]
672,"KFUPM DSR grant [IN131043]; King Abdulaziz City for Science and Technology (KACST) via KACST-TIC in SSL Grant [KACST TIC R2- FP-008, EE2381]"
673,KFUPM for the Post -Doctoral fellowship
674,"KFUPM from the Deanship of Scientific Research at King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia [RG171004]"
675,KFUPM Fund [SR161020]; King Abdullah City for Atomic and Renewable Energy (K.A.CARE) [KACO2474]
676,"KFUPM Funded Research Project [IN121017]; Alexander von Humboldt Foundation, Bonn, GermanyAlexander von Humboldt Foundation; Alexander von Humboldt Foundation, BonnAlexander von Humboldt Foundation"
677,KFUPM internal project
678,"KFUPM Internal Project, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia [IN141026]"
679,KFUPM project [DF181029]
680,KFUPM Project [NUS15103]
681,KFUPM project [NUS15103/04]
682,KFUPM project [NUS15103/4]
683,KFUPM Research Committee [IN151022]
684,"KFUPM Research Project [SB171005]; Institute for Computational Science and Technology, Hochiminh City, Vietnam; Australian Research Councils Discovery ProjectsAustralian Research Council [DP190102501]"
685,KFUPM under DSR project [SB151001]
686,KFUPM under DSR Research Grant [RG161003]
687,"KFUPM under the Center of Excellence for Scientific Collaboration with NUS [NUS15109, NUS 15110]; Chemistry Department of KFUPM; Physics Department of KFUPM"
688,KFUPM-CPG
689,"KFUPM-NUS Collaborative Grants [R-143-001-617-597, NUS 15109, NUS 15110]"
690,"KFUPM, Saudi Arabia [171040]"
691,"KFUPM, Saudi Arabia [IN131047]"
692,"KFUPM, Saudi Arabia [RG-161002]; King Abdullah City for Atomic and Renewable Energy (K.A.CARE), Saudi Arabia [KACARE182-RFP-02]"
693,KFUPM; CPG
694,KFUPM; Deanship of Scientific Research (KFUPM) [DF181007]
695,KFUPM; Fulbright
696,"KFUPM; KAUST, Saudi ArabiaKing Abdullah University of Science & Technology"
697,KFUPM; KFUPM [IN151023]
698,KFUPM; KFUPM [JF151005]
699,KFUPM; KFUPM [SB191037]
700,KFUPM/SABIC [SB131008]
701,King Abdul Aziz City for Science & Technology (KACST); Deanship of Scientific Research of the King Fahd University of Petroleum and Minerals
702,King Abdul Aziz City for Science and Technology (KACST) [03]
703,King Abdul Aziz City for Science and Technology (KACST) [03]; KFUPM; UII
704,King Abdul Aziz City for Science and Technology (KACST) through the National Science and Technology Initiative Program at King Fahd University of Petroleum and Minerals (KFUPM) [11-OIL2145-04]
705,King Abdul Aziz City for Science and Technology (KACST) through the Technology Innovation Centre ( KACST-TIC) on Carbon Capture and Sequestration [TIC-CCS-5]; King Fahd University of Petroleum and Minerals (KFUPM)
706,King Abdul Aziz City for Science and Technology through the Science and Technology Unit at King Fahd University of Petroleum and Minerals as part of the National Science Technology and Innovation Plan [10-WAT1396-04]
707,"King Abdul Aziz City for Science and Technology through the Science and Technology Unit at King Fahd University of Petroleum and Minerals, National Science Technology and Innovation Plan [10-WAT1399-04]"
708,"King Abdul Aziz City for Science and Technology; National Science, Technology and Innovation Plan (NSTIP) [13-MAT2262-04]"
709,King Abdul-Aziz City for Science and Technology (KACST) [13-ENE403-04]
710,"King Abdul-Aziz City for Science and Technology (KACST) [AR-30-291]; KFUPM, Saudi Aramco; Qatar University"
711,King Abdul-Aziz City for Science and Technology (KACST) [MT-5-13]
712,"King Abdul-Aziz City for Science and Technology (KACST) through the Science & Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM) [12-INF3012-04]; National Science, Technology and Innovation Plan"
713,King Abdul-Aziz City for Science and Technology (KACST) through the Science and Technology Unit at the King Fahd University of Petroleum and Minerals (KFUPM) [13-ENE403-04]
714,"King Abdul-Aziz City for Science and Technology (KACST) through the Science and Technology Unit at the King Fahd University of Petroleum and Minerals (KFUPM) as part of the National Science, Technology and Innovation [13-ENE403-04]"
715,"King Abdul-Aziz City for Science and Technology (KACST) through the Science and Technology Unit at the King Fahd University of Petroleum and Minerals (KFUPM) as part of the National Science, Technology and Innovation Plan [11-ENE1626-04]"
716,King Abdul-Aziz City for Science and Technology (KACST) under NSTIP at University of Dammam (UoD) [12-Env2229-46]
717,King Abdul-Aziz City for Science and Technology [12-INF3012-04]
718,King Abdul-Aziz City for Science and Technology [13-ENE403-04]
719,King Abdul-Aziz City of Science and Technology [AT-35-106]
720,"King Abdulaziz City for Science & Technology (KACST) through the Science and Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM) as part of the National Science, Technology and Innovation Plan [12-ADV3005-04]"
721,"King Abdulaziz City for Science and Technology -National Science, Technology, and Innovation Plan (NSTIP) [15-NAN4601-04]; Center for Research Excellence in Nanotechnology (CENT)"
722,King Abdulaziz City for Science and Technology (KACST /NSTIP) [11-ADV2134-04]
723,King Abdulaziz City for Science and Technology (KACST) [10-OIL1378-04]; King Fahd University of Petroleum Minerals
724,King Abdulaziz City for Science and Technology (KACST) [10-WAT1400-04]
725,King Abdulaziz City for Science and Technology (KACST) [13-NAN 1702-04]
726,"King Abdulaziz City for Science and Technology (KACST) [20-0239]; King Fahd University of Petroleum and Minerals, Saudi Arabia [RG 181002]; King Abdullah City for Atomic and Renewable Energy Research and Innovation Center (K.A. CARE) at KFUPM [KACARE-182-RFP-02]"
727,King Abdulaziz City for Science and Technology (KACST) [A.T.34-8]; King Fahd University of Petroleum and Minerals (KFUPM)
728,King Abdulaziz City for Science and Technology (KACST) [AR-32-99]
729,King Abdulaziz City for Science and Technology (KACST) [AR-34-3]
730,King Abdulaziz City for Science and Technology (KACST) [AT-32-94]
731,"King Abdulaziz City for Science and Technology (KACST) [EE2381, KACST TIC R2-FP-008]; King Abdullah University of Science and Technology (KAUST)King Abdullah University of Science & Technology [BAS/1/1614-01-01, KCR/1/2081-01-01, GEN/1/6607-01-01]; KAUST-KFUPM Special Initiative (KKI) Program [REP/1/2878-01-01]"
732,"King Abdulaziz City for Science and Technology (KACST) as part of the National Plan for Science, Technology and Innovation [NSTIP-13-OIL1694-04]; Geosciences Department at KFUPM; Research Institute at KFUPM"
733,"King Abdulaziz City for Science and Technology (KACST) as part of the National Science, Technology and Innovation Plan through the Science & Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM) [13-WAT96-04]"
734,"King Abdulaziz City for Science and Technology (KACST) as part of the National Science, Technology, and Innovation Plan [11-ELE1623-04]"
735,"King Abdulaziz City for Science and Technology (KACST) through KACST Technology Innovation Center (TIC) on Solid State Lighting (SSL) ""KACST-TIC on SSL"" [KACST TIC R2-FP-008, EE2381]"
736,"King Abdulaziz City for Science and Technology (KACST) through King Fahd University of Petroleum & Minerals (KFUPM) [09ELE78504]; National Science, Technology and Innovation Plan"
737,King Abdulaziz City for Science and Technology (KACST) through King Fahd University of Petroleum and Minerals (KFUPM) [11-ADV2133-04]
738,"King Abdulaziz City for Science and Technology (KACST) through King Fahd University of Petroleum and Minerals (KFUPM) [12-NAN 3021-04]; National Science, Technology and Innovation Plan"
739,"King Abdulaziz City for Science and Technology (KACST) through King Fahd University of Petroleum and Minerals (KFUPM); National Science, Technology and Innovation Plan [12-ELE2381-04]"
740,King Abdulaziz City for Science and Technology (KACST) through Science & Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM) [13-ADV2184-04]
741,King Abdulaziz City for Science and Technology (KACST) through Science & Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM) as part of the National Science Technology and Innovation Plan (NSTIP) [09-NAN758-04]
742,King Abdulaziz City for Science and Technology (KACST) through Science & Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM) as part of the National Science Technology and Innovation Plan (NSTIP) [13-ADV2184-04]
743,"King Abdulaziz City for Science and Technology (KACST) through Science & Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM), as part of the National Science, Technology and Innovation Plan [14-ENV332-04]"
744,"King Abdulaziz City for Science and Technology (KACST) through Science & Technology Unit at King FahdUniversity of Petroleum& Minerals (KFUPM), National Science Technology and Innovation Plan (NSTIP) [09-NAN758-04]"
745,"King Abdulaziz City for Science and Technology (KACST) through Science & Technology Unit at King Fand University of Petroleum & Minerals (KFUPM), National Science, Technology and Innovation Plan [13-NAN1700-04]"
746,"King Abdulaziz City for Science and Technology (KACST) through Science and Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM) as part of the National Science, Technology and Innovation Plan [12-NAN2374-04]"
747,King Abdulaziz City for Science and Technology (KACST) through the KACST Annual Program (KAP) Unit at King Fahd University of Petroleum & Minerals (KFUPM) [ART 34-47]
748,"King Abdulaziz City for Science and Technology (KACST) through the National Science & Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM) [12-BIO2366-04]; National Science, Technology and Innovation Plan"
749,"King Abdulaziz City for Science and Technology (KACST) through the National Science and Technology Unit at King Fahd University of Petroleum Minerals (KFUPM), National Science, Technology and Innovation Plan [12-BIO2366-04]"
750,"King Abdulaziz City for Science and Technology (KACST) through the National Science, Technology and Innovation Plan (NSTIP) [14-OIL280-04]; King Abdulaziz City for Science and Technology (KACST) through the Science Technology Unit at King Fahd University of Petroleum & Minerals (KFUPM) [14-OIL280-04]"
